AMENITYID,ASSETID,BATHNUMBER,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,CADASTRALQUALITYID,CADCONSTRUCTIONYEAR,CADDWELLINGCOUNT,CADMAXBUILDINGFLOOR,CONSTRUCTEDAREA,CONSTRUCTIONYEAR,DISTANCE_TO_CASTELLANA,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,FLATLOCATIONID,FLOORCLEAN,HASAIRCONDITIONING,HASBOXROOM,HASDOORMAN,HASEASTORIENTATION,HASGARDEN,HASLIFT,HASNORTHORIENTATION,HASPARKINGSPACE,HASSOUTHORIENTATION,HASSWIMMINGPOOL,HASTERRACE,HASWARDROBE,HASWESTORIENTATION,ISDUPLEX,ISINTOPFLOOR,ISPARKINGSPACEINCLUDEDINPRICE,ISSTUDIO,LATITUDE,LONGITUDE,PARKINGSPACEPRICE,PERIOD,PRICE,ROOMNUMBER,UNITPRICE,geometry,region
3,A6374482015422439576,2,0,0,1,3,1900,15,7,150,1900,1.5873,0.7845,0.4366,1,3,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,40.4152,-3.7129,1,201803,960000,3,6400,"{""coordinates"":[-3.7129,40.4152],""type"":""Point""}",Madrid
3,A17197684369848672678,1,0,1,0,5,1880,21,6,44,1880,1.6214,0.9102,0.4136,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4122,-3.7129,1,201803,79000,2,1795.4545,"{""coordinates"":[-3.7129,40.4122],""type"":""Point""}",Madrid
3,A1048829975225508555,1,0,0,1,4,1900,11,5,38,null,1.2835,0.4532,0.0633,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4176,-3.709,1,201803,198000,1,5210.5263,"{""coordinates"":[-3.709,40.4176],""type"":""Point""}",Madrid
3,A6661618931624584691,2,0,0,1,4,1963,28,7,97,null,1.5986,0.8423,0.4702,1,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,40.4135,-3.7129,1,201803,430000,2,4432.9897,"{""coordinates"":[-3.7129,40.4135],""type"":""Point""}",Madrid
3,A6945679074811963086,3,0,0,1,3,1900,10,4,178,null,1.4926,0.8102,0.1806,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,40.422,-3.7102,1,201803,663000,2,3724.7191,"{""coordinates"":[-3.7102,40.422],""type"":""Point""}",Madrid
3,A3893665449632368339,3,0,0,1,1,1885,14,6,170,null,1.4026,0.6007,0.3272,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4153,-3.7107,1,201803,957000,3,5629.4118,"{""coordinates"":[-3.7107,40.4153],""type"":""Point""}",Madrid
3,A7126843836535134604,1,0,1,0,3,1905,19,7,116,1905,1.3248,0.4968,0.1567,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4167,-3.7097,1,201803,420000,4,3620.6897,"{""coordinates"":[-3.7097,40.4167],""type"":""Point""}",Madrid
3,A10450848593330201355,1,0,0,1,7,1982,38,7,50,1982,2.0735,1.4035,0.6148,1,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,40.4095,-3.7175,1,201803,191000,1,3820,"{""coordinates"":[-3.7175,40.4095],""type"":""Point""}",Madrid
1,A8502949232699048728,1,0,0,1,4,1850,5,4,86,1850,1.4144,0.7681,0.1802,null,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4117,-3.7102,1,201803,315000,3,3662.7907,"{""coordinates"":[-3.7102,40.4117],""type"":""Point""}",Madrid
3,A6221226975596656768,1,0,0,1,2,1890,12,6,106,null,1.5429,0.7116,0.238,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40.4174,-3.7121,1,201803,701000,1,6613.2075,"{""coordinates"":[-3.7121,40.4174],""type"":""Point""}",Madrid
3,A8615594653188080606,1,0,0,1,1,1930,17,4,90,null,1.4672,0.6529,0.1585,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.4191,-3.7108,1,201803,372000,2,4133.3333,"{""coordinates"":[-3.7108,40.4191],""type"":""Point""}",Madrid
3,A13498463812841109246,1,0,1,0,5,1900,10,4,51,1900,1.5093,1.0275,0.2304,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.4091,-3.7109,1,201803,232000,2,4549.0196,"{""coordinates"":[-3.7109,40.4091],""type"":""Point""}",Madrid
3,A4629822265485614244,2,0,0,1,5,1880,26,6,132,1880,1.5004,1.0324,0.22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.409,-3.7108,1,201803,806000,2,6106.0606,"{""coordinates"":[-3.7108,40.409],""type"":""Point""}",Madrid
3,A245971519647496657,1,0,0,1,3,1910,7,4,201,null,1.3732,0.6363,0.1339,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.4206,-3.7092,1,201803,800000,1,3980.0995,"{""coordinates"":[-3.7092,40.4206],""type"":""Point""}",Madrid
3,A10560435902654695334,4,0,1,0,2,1935,16,6,276,null,1.3955,0.5804,0.2649,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4159,-3.7106,1,201803,1348000,5,4884.058,"{""coordinates"":[-3.7106,40.4159],""type"":""Point""}",Madrid
3,A3103980924495543098,1,0,0,1,4,1999,16,5,44,1999,1.6289,0.9044,0.1807,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4219,-3.7119,1,201803,246000,1,5590.9091,"{""coordinates"":[-3.7119,40.4219],""type"":""Point""}",Madrid
3,A1629449725593216083,1,0,0,1,5,1900,11,5,60,null,1.5794,0.9924,0.3251,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4099,-3.7116,1,201803,225000,2,3750,"{""coordinates"":[-3.7116,40.4099],""type"":""Point""}",Madrid
3,A2300072678008003722,1,0,1,0,3,1900,18,5,127,1900,1.1201,0.4807,0.2188,1,3,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,40.4131,-3.7071,1,201803,499000,3,3929.1339,"{""coordinates"":[-3.7071,40.4131],""type"":""Point""}",Madrid
3,A7404522613538543346,2,0,1,0,4,1890,29,6,136,null,1.5511,0.8206,0.3893,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,40.4129,-3.7122,1,201803,441000,4,3242.6471,"{""coordinates"":[-3.7122,40.4129],""type"":""Point""}",Madrid
3,A12060034413979967218,1,0,0,1,4,1978,23,6,62,null,1.4284,0.9696,0.2627,1,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,40.4092,-3.7099,1,201803,383000,1,6177.4194,"{""coordinates"":[-3.7099,40.4092],""type"":""Point""}",Madrid
3,A14169596011860108114,2,0,1,0,3,1970,51,6,101,1970,1.5707,0.7453,0.3172,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,40.4166,-3.7126,1,201803,536000,2,5306.9307,"{""coordinates"":[-3.7126,40.4166],""type"":""Point""}",Madrid
3,A13123848576498470228,1,0,0,1,3,1870,8,3,43,null,1.2128,0.5552,0.1756,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4129,-3.7081,1,201803,226000,2,5255.814,"{""coordinates"":[-3.7081,40.4129],""type"":""Point""}",Madrid
3,A7169836871904885217,2,0,0,1,5,1946,8,4,60,1946,1.6797,0.9808,0.4498,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,40.4117,-3.7134,1,201803,153000,2,2550,"{""coordinates"":[-3.7134,40.4117],""type"":""Point""}",Madrid
3,A4240438424213816121,2,0,1,0,4,1962,7,5,113,null,1.538,0.874,0.1162,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,40.4225,-3.7106,1,201803,433000,4,3831.8584,"{""coordinates"":[-3.7106,40.4225],""type"":""Point""}",Madrid
3,A7475119519297457136,1,0,0,1,3,1948,23,6,58,null,1.5147,0.7004,0.2027,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4192,-3.7113,1,201803,257000,2,4431.0345,"{""coordinates"":[-3.7113,40.4192],""type"":""Point""}",Madrid
3,A10094449861550394772,1,0,0,1,6,1999,10,6,46,1999,1.4142,0.9735,0.2568,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,40.4091,-3.7097,1,201803,291000,0,6326.087,"{""coordinates"":[-3.7097,40.4091],""type"":""Point""}",Madrid
3,A14326742704202716060,1,0,0,1,2,1987,29,7,98,null,1.2616,0.4764,0.3456,1,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.415,-3.709,1,201803,680000,2,6938.7755,"{""coordinates"":[-3.709,40.415],""type"":""Point""}",Madrid
3,A995251335927104704,2,0,0,1,5,1850,24,9,100,null,1.6375,0.8619,0.5397,1,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,40.414,-3.7134,1,201803,384000,2,3840,"{""coordinates"":[-3.7134,40.414],""type"":""Point""}",Madrid
3,A11741168730804810236,3,0,0,1,3,2006,20,7,163,null,1.3957,0.5932,0.3221,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,40.4153,-3.7106,1,201803,1062000,3,6515.3374,"{""coordinates"":[-3.7106,40.4153],""type"":""Point""}",Madrid
3,A5828768194850277218,1,0,0,1,5,1900,25,5,40,null,1.5596,0.9667,0.3024,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4101,-3.7114,1,201803,197000,1,4925,"{""coordinates"":[-3.7114,40.4101],""type"":""Point""}",Madrid
3,A1923903529068332898,1,0,0,1,5,1900,22,6,30,null,1.4959,0.9041,0.2369,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4104,-3.7107,1,201803,175000,1,5833.3333,"{""coordinates"":[-3.7107,40.4104],""type"":""Point""}",Madrid
3,A16652612845064255474,4,0,0,1,4,1923,15,6,200,null,1.4187,0.7088,0.2757,1,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,40.4129,-3.7106,1,201803,1668000,4,8340,"{""coordinates"":[-3.7106,40.4129],""type"":""Point""}",Madrid
3,A2651837895471468260,1,0,0,1,3,1910,8,4,100,null,1.5007,0.6693,0.1864,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4177,-3.7116,1,201803,711000,1,7110,"{""coordinates"":[-3.7116,40.4177],""type"":""Point""}",Madrid
3,A8771915799522655082,1,0,0,1,4,1850,5,4,85,null,1.4724,0.7908,0.2624,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,40.4121,-3.7111,1,201803,315000,3,3705.8824,"{""coordinates"":[-3.7111,40.4121],""type"":""Point""}",Madrid
3,A17961998218495618144,3,0,0,1,3,2006,20,7,142,null,1.3587,0.5407,0.2366,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,40.416,-3.7101,1,201803,1029000,3,7246.4789,"{""coordinates"":[-3.7101,40.416],""type"":""Point""}",Madrid
3,A4444264986115631121,2,0,1,0,4,1900,22,6,184,1900,1.25,0.4975,0.3422,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,40.4143,-3.7088,1,201803,943000,3,5125,"{""coordinates"":[-3.7088,40.4143],""type"":""Point""}",Madrid
3,A13140942169424578829,5,0,0,1,1,1900,16,5,229,1900,1.529,0.7436,0.4548,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,40.4146,-3.7122,1,201803,1495000,6,6528.3843,"{""coordinates"":[-3.7122,40.4146],""type"":""Point""}",Madrid
3,A6861948013616024265,2,0,0,1,4,1900,11,6,200,1900,1.2859,0.455,0.0705,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,40.4175,-3.709,1,201803,830000,3,4150,"{""coordinates"":[-3.709,40.4175],""type"":""Point""}",Madrid
3,A14279296495405893466,1,0,0,1,6,1962,6,5,60,null,1.5553,1.0613,0.2256,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.409,-3.7114,1,201803,237000,2,3950,"{""coordinates"":[-3.7114,40.409],""type"":""Point""}",Madrid
3,A2458218493559976586,2,0,0,1,4,1900,15,6,142,1900,1.1836,0.5422,0.1696,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4128,-3.7077,1,201803,618000,5,4352.1127,"{""coordinates"":[-3.7077,40.4128],""type"":""Point""}",Madrid
3,A11262756321562217759,2,0,0,1,4,1850,17,5,101,null,1.4197,0.8686,0.1759,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,40.4102,-3.7097,1,201803,369000,2,3653.4653,"{""coordinates"":[-3.7097,40.4102],""type"":""Point""}",Madrid
3,A5073667996603810448,3,0,0,1,1,1907,13,6,189,null,1.3285,0.5569,0.3879,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,40.4145,-3.7098,1,201803,1221000,2,6460.3175,"{""coordinates"":[-3.7098,40.4145],""type"":""Point""}",Madrid
3,A10866818588394857747,1,0,0,1,5,1860,16,5,45,null,1.5004,0.8728,0.2416,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.411,-3.711,1,201803,197000,1,4377.7778,"{""coordinates"":[-3.711,40.411],""type"":""Point""}",Madrid
3,A9658442428237065374,1,0,0,1,4,1975,13,5,70,null,1.2116,0.3817,0.1725,1,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4168,-3.7083,1,201803,560000,2,8000,"{""coordinates"":[-3.7083,40.4168],""type"":""Point""}",Madrid
3,A9773520925286500856,1,0,1,0,5,1984,19,4,112,1984,1.4018,0.7796,0.1493,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4114,-3.7099,1,201803,390000,3,3482.1429,"{""coordinates"":[-3.7099,40.4114],""type"":""Point""}",Madrid
3,A16178033270771897801,1,0,0,1,6,1935,14,5,30,null,1.6272,1.0491,0.3044,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.4096,-3.7121,1,201803,169000,0,5633.3333,"{""coordinates"":[-3.7121,40.4096],""type"":""Point""}",Madrid
3,A9742974161349173292,2,0,0,1,5,1860,11,6,114,null,1.4173,0.8234,0.1565,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4109,-3.7099,1,201803,426000,2,3736.8421,"{""coordinates"":[-3.7099,40.4109],""type"":""Point""}",Madrid
3,A13815359743994011543,1,0,0,1,3,1942,15,6,35,null,1.5112,0.7956,0.2159,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40.4215,-3.7106,1,201803,195000,0,5571.4286,"{""coordinates"":[-3.7106,40.4215],""type"":""Point""}",Madrid
3,A1275443671509348838,2,0,0,1,4,1962,7,5,125,null,1.5333,0.8231,0.1916,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40.4217,-3.7108,1,201803,556000,3,4448,"{""coordinates"":[-3.7108,40.4217],""type"":""Point""}",Madrid
3,A8143716094931792281,2,0,0,1,4,1978,13,5,65,1978,1.2966,0.468,0.1517,1,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4167,-3.7093,40001,201803,248000,2,3815.3846,"{""coordinates"":[-3.7093,40.4167],""type"":""Point""}",Madrid
3,A10201311680201272164,1,0,1,0,1,1945,71,8,53,1945,1.2004,0.5565,0.0921,1,8,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,40.421,-3.707,1,201803,429000,1,8094.3396,"{""coordinates"":[-3.707,40.421],""type"":""Point""}",Madrid
3,A144805513938447497,2,0,0,1,5,1981,12,5,140,null,1.3059,0.6602,0.13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4122,-3.7091,1,201803,541000,2,3864.2857,"{""coordinates"":[-3.7091,40.4122],""type"":""Point""}",Madrid
3,A16211337436137487955,1,0,1,0,6,1958,29,7,68,1958,2.0457,1.4124,0.5758,1,7,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,40.4091,-3.7173,1,201803,262000,2,3852.9412,"{""coordinates"":[-3.7173,40.4091],""type"":""Point""}",Madrid
3,A12232245867211742414,1,0,0,1,3,1981,11,5,40,null,1.6448,0.9378,0.4282,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4121,-3.7131,1,201803,236000,1,5900,"{""coordinates"":[-3.7131,40.4121],""type"":""Point""}",Madrid
3,A11359733190801733237,1,0,0,1,6,1970,32,5,45,1970,1.7149,1.0747,0.4079,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.4103,-3.7134,1,201803,220000,1,4888.8889,"{""coordinates"":[-3.7134,40.4103],""type"":""Point""}",Madrid
3,A5289304371672381262,1,0,1,0,2,1880,12,6,70,null,1.4717,0.6457,0.1396,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40.4185,-3.711,1,201803,327000,2,4671.4286,"{""coordinates"":[-3.711,40.4185],""type"":""Point""}",Madrid
3,A7016225390561662101,1,0,0,1,3,1905,12,5,58,1905,1.4841,0.6671,0.168,2,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,40.419,-3.711,1,201803,272000,2,4689.6552,"{""coordinates"":[-3.711,40.419],""type"":""Point""}",Madrid
3,A11184104130339181512,1,0,1,0,4,1912,26,6,69,1912,1.7343,1.08,0.4406,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,40.4105,-3.7137,1,201803,354000,4,5130.4348,"{""coordinates"":[-3.7137,40.4105],""type"":""Point""}",Madrid
3,A4427972266863432774,1,0,0,1,4,1929,24,6,48,null,1.41,0.8601,0.1665,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,40.4103,-3.7096,1,201803,274000,2,5708.3333,"{""coordinates"":[-3.7096,40.4103],""type"":""Point""}",Madrid
3,A5519122946970646544,1,0,0,1,5,1905,13,5,68,1905,1.3481,0.7045,0.1377,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,40.412,-3.7095,1,201803,287000,2,4220.5882,"{""coordinates"":[-3.7095,40.412],""type"":""Point""}",Madrid
