LOCATIONID,LOCATIONNAME,WKT,ZONELEVELID,city
0-EU-ES-28-07-001-079-04-005,Lista,"{""coordinates"":[[[[-3.6763,40.4363],[-3.6771,40.437],[-3.6775,40.4375],[-3.6777,40.4374],[-3.6786,40.4375],[-3.6791,40.4375],[-3.6797,40.4313],[-3.6797,40.4306],[-3.6798,40.4301],[-3.6798,40.4296],[-3.6799,40.4289],[-3.6791,40.4289],[-3.6783,40.4288],[-3.6769,40.4288],[-3.669,40.4284],[-3.6693,40.4286],[-3.6701,40.4296],[-3.6703,40.4299],[-3.6733,40.4334],[-3.6763,40.4363]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-08-001,El Pardo,"{""coordinates"":[[[[-3.7345,40.502],[-3.7322,40.5038],[-3.7329,40.5062],[-3.7348,40.5067],[-3.742,40.509],[-3.7326,40.5231],[-3.7302,40.5229],[-3.7277,40.5271],[-3.7119,40.5328],[-3.7049,40.5398],[-3.7113,40.5485],[-3.7157,40.5632],[-3.7157,40.5696],[-3.7005,40.5787],[-3.6955,40.5796],[-3.6925,40.5802],[-3.6742,40.5891],[-3.6741,40.589],[-3.6656,40.5927],[-3.6576,40.5943],[-3.6544,40.5892],[-3.6495,40.5775],[-3.6437,40.5765],[-3.6289,40.5741],[-3.6254,40.5734],[-3.6165,40.5807],[-3.6071,40.5851],[-3.6021,40.5919],[-3.6049,40.5942],[-3.6052,40.5965],[-3.607,40.5969],[-3.6076,40.5974],[-3.6082,40.5981],[-3.6087,40.5985],[-3.6101,40.5987],[-3.6108,40.5994],[-3.6118,40.5995],[-3.6125,40.6],[-3.6138,40.6006],[-3.615,40.6008],[-3.6162,40.6017],[-3.616,40.6027],[-3.6163,40.6038],[-3.6168,40.6045],[-3.6169,40.6055],[-3.6167,40.6068],[-3.6167,40.6071],[-3.6178,40.6085],[-3.6178,40.609],[-3.6176,40.6094],[-3.6177,40.61],[-3.6202,40.6086],[-3.6397,40.6005],[-3.6432,40.6017],[-3.65,40.6025],[-3.6509,40.6116],[-3.6612,40.6223],[-3.6793,40.611],[-3.6851,40.6087],[-3.6874,40.6069],[-3.689,40.6044],[-3.6906,40.6017],[-3.691,40.6009],[-3.6915,40.5983],[-3.6945,40.5934],[-3.6946,40.5927],[-3.6963,40.5899],[-3.7018,40.5871],[-3.7025,40.5866],[-3.7035,40.5859],[-3.7067,40.5845],[-3.711,40.5828],[-3.715,40.5868],[-3.7189,40.5893],[-3.7225,40.5959],[-3.7186,40.5965],[-3.727,40.5983],[-3.7348,40.606],[-3.7389,40.6117],[-3.7395,40.6115],[-3.7399,40.6108],[-3.7421,40.611],[-3.7429,40.6106],[-3.7439,40.6093],[-3.7447,40.6102],[-3.7485,40.6112],[-3.7501,40.6112],[-3.7524,40.611],[-3.7564,40.6123],[-3.7572,40.6116],[-3.7572,40.6108],[-3.7579,40.6105],[-3.7656,40.6133],[-3.7668,40.6131],[-3.7678,40.6129],[-3.7686,40.6126],[-3.769,40.6117],[-3.7701,40.6111],[-3.7715,40.6125],[-3.7721,40.6163],[-3.7738,40.6171],[-3.7768,40.6177],[-3.7798,40.6184],[-3.7803,40.6178],[-3.781,40.6179],[-3.783,40.6199],[-3.7833,40.6206],[-3.7826,40.622],[-3.7849,40.6218],[-3.7887,40.6205],[-3.7915,40.6189],[-3.7946,40.6149],[-3.8046,40.6127],[-3.8064,40.613],[-3.8091,40.6125],[-3.8126,40.6119],[-3.8129,40.6103],[-3.8128,40.6078],[-3.806,40.5996],[-3.8146,40.5949],[-3.8265,40.5947],[-3.8363,40.5915],[-3.8415,40.5924],[-3.8586,40.5881],[-3.8681,40.5924],[-3.8742,40.5912],[-3.8837,40.5855],[-3.8839,40.5836],[-3.8836,40.5789],[-3.8849,40.5746],[-3.8883,40.5711],[-3.8869,40.5664],[-3.8838,40.5641],[-3.8845,40.5614],[-3.874,40.5576],[-3.8704,40.5497],[-3.8633,40.5348],[-3.8537,40.5249],[-3.8535,40.5201],[-3.8515,40.5173],[-3.8537,40.5124],[-3.8521,40.5099],[-3.8365,40.5064],[-3.8395,40.4995],[-3.8342,40.494],[-3.8332,40.4857],[-3.8364,40.4806],[-3.8366,40.4798],[-3.8273,40.4771],[-3.8125,40.4729],[-3.8042,40.4705],[-3.7984,40.4697],[-3.796,40.4699],[-3.7924,40.471],[-3.7907,40.4719],[-3.7859,40.4733],[-3.7834,40.4739],[-3.7812,40.4744],[-3.7791,40.4745],[-3.7769,40.4745],[-3.7715,40.4744],[-3.7684,40.474],[-3.765,40.4731],[-3.7626,40.4727],[-3.7606,40.4728],[-3.7594,40.4732],[-3.7581,40.4737],[-3.7578,40.4766],[-3.7577,40.4784],[-3.7515,40.4789],[-3.7509,40.4786],[-3.7486,40.4785],[-3.7477,40.4784],[-3.7467,40.4779],[-3.7462,40.4782],[-3.7422,40.4808],[-3.7447,40.4823],[-3.7451,40.4828],[-3.7456,40.4836],[-3.7444,40.4855],[-3.7433,40.4866],[-3.7423,40.4885],[-3.7393,40.4911],[-3.7379,40.4941],[-3.7363,40.4974],[-3.7345,40.502]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-09-003,Ciudad Universitaria,"{""coordinates"":[[[[-3.7285,40.4725],[-3.7287,40.4727],[-3.7307,40.4726],[-3.7338,40.4727],[-3.7357,40.4731],[-3.7406,40.4742],[-3.7417,40.4743],[-3.7474,40.4744],[-3.7482,40.4744],[-3.7486,40.4744],[-3.7497,40.4748],[-3.7511,40.4758],[-3.7516,40.4789],[-3.7576,40.4783],[-3.7578,40.4764],[-3.758,40.4737],[-3.7605,40.4727],[-3.7627,40.4726],[-3.7656,40.4733],[-3.7648,40.4714],[-3.7642,40.4697],[-3.7633,40.4672],[-3.7626,40.4651],[-3.762,40.4634],[-3.7627,40.4612],[-3.7622,40.4611],[-3.7625,40.4601],[-3.7603,40.4573],[-3.7591,40.4555],[-3.7583,40.4541],[-3.7573,40.4533],[-3.7573,40.4512],[-3.7603,40.45],[-3.7606,40.4497],[-3.761,40.4496],[-3.7612,40.4497],[-3.7616,40.4498],[-3.762,40.4498],[-3.7623,40.4497],[-3.7628,40.4495],[-3.7595,40.4479],[-3.7553,40.446],[-3.7526,40.4449],[-3.75,40.4437],[-3.7488,40.443],[-3.7466,40.4414],[-3.7457,40.4408],[-3.7419,40.4379],[-3.7399,40.4355],[-3.7391,40.4349],[-3.738,40.4345],[-3.7344,40.4342],[-3.7334,40.4344],[-3.7264,40.436],[-3.7231,40.4375],[-3.7216,40.4366],[-3.7193,40.4355],[-3.7193,40.4356],[-3.719,40.4356],[-3.7183,40.4355],[-3.7181,40.4365],[-3.718,40.4371],[-3.7179,40.4379],[-3.7177,40.439],[-3.7176,40.4392],[-3.7176,40.4394],[-3.7177,40.44],[-3.7184,40.4413],[-3.7191,40.4427],[-3.7196,40.4435],[-3.7198,40.4437],[-3.72,40.4449],[-3.7198,40.4452],[-3.7197,40.4453],[-3.7195,40.4455],[-3.7182,40.4467],[-3.7181,40.4467],[-3.7175,40.4467],[-3.717,40.4466],[-3.7161,40.4463],[-3.7148,40.4458],[-3.7145,40.4458],[-3.7125,40.4463],[-3.7106,40.4467],[-3.7093,40.4471],[-3.7089,40.4471],[-3.7085,40.4472],[-3.7087,40.4476],[-3.7093,40.4485],[-3.7098,40.4493],[-3.7108,40.4508],[-3.7117,40.4522],[-3.7121,40.4525],[-3.7133,40.4531],[-3.7127,40.4539],[-3.713,40.4545],[-3.7131,40.4547],[-3.7132,40.4549],[-3.7131,40.4553],[-3.7125,40.4561],[-3.7116,40.4572],[-3.7114,40.4575],[-3.7114,40.4576],[-3.7123,40.4576],[-3.7138,40.458],[-3.7182,40.4594],[-3.7187,40.4595],[-3.7189,40.4596],[-3.7192,40.4597],[-3.7194,40.4598],[-3.7195,40.46],[-3.7196,40.4603],[-3.7194,40.4606],[-3.719,40.4612],[-3.719,40.4614],[-3.7196,40.4623],[-3.72,40.4628],[-3.7203,40.463],[-3.7207,40.4632],[-3.721,40.4634],[-3.7211,40.4637],[-3.7213,40.4638],[-3.7216,40.4639],[-3.7222,40.464],[-3.7224,40.4641],[-3.7237,40.4645],[-3.7238,40.4653],[-3.7239,40.4659],[-3.7244,40.4678],[-3.7245,40.4679],[-3.7251,40.4685],[-3.727,40.4708],[-3.7281,40.4719],[-3.7285,40.4725]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-09-004,Valdezarza,"{""coordinates"":[[[[-3.7114,40.4576],[-3.7107,40.4587],[-3.7091,40.4611],[-3.7084,40.4623],[-3.7088,40.4629],[-3.7092,40.4635],[-3.7092,40.4638],[-3.7092,40.4639],[-3.7092,40.464],[-3.7092,40.4641],[-3.7093,40.4642],[-3.7094,40.4644],[-3.7101,40.4652],[-3.7103,40.4655],[-3.7105,40.4657],[-3.7114,40.4666],[-3.7124,40.4676],[-3.7132,40.4686],[-3.7144,40.4697],[-3.7171,40.4704],[-3.7206,40.4713],[-3.7224,40.4718],[-3.7235,40.4721],[-3.7254,40.4726],[-3.7262,40.4727],[-3.7274,40.4725],[-3.7278,40.4725],[-3.7285,40.4728],[-3.7287,40.4728],[-3.7285,40.4725],[-3.7281,40.4719],[-3.7272,40.471],[-3.7264,40.47],[-3.7251,40.4685],[-3.7245,40.4679],[-3.7244,40.4678],[-3.7239,40.4659],[-3.7238,40.4653],[-3.7237,40.4645],[-3.7222,40.464],[-3.7216,40.4639],[-3.7213,40.4638],[-3.7211,40.4637],[-3.721,40.4634],[-3.7208,40.4632],[-3.7203,40.463],[-3.72,40.4628],[-3.7199,40.4626],[-3.7196,40.4623],[-3.719,40.4614],[-3.719,40.4612],[-3.7194,40.4606],[-3.7196,40.4602],[-3.7195,40.46],[-3.7194,40.4598],[-3.7193,40.4597],[-3.7189,40.4596],[-3.7148,40.4583],[-3.7137,40.458],[-3.7123,40.4576],[-3.7114,40.4576]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-11-006,Buena Vista,"{""coordinates"":[[[[-3.7558,40.3784],[-3.7567,40.3782],[-3.7575,40.377],[-3.7579,40.3762],[-3.758,40.3755],[-3.7618,40.3745],[-3.7619,40.3745],[-3.7622,40.3726],[-3.7623,40.3727],[-3.7624,40.3722],[-3.7627,40.3702],[-3.7628,40.3694],[-3.7629,40.3689],[-3.7628,40.3687],[-3.7624,40.3679],[-3.7618,40.3668],[-3.7602,40.3665],[-3.7594,40.3663],[-3.7575,40.3659],[-3.7574,40.3658],[-3.7558,40.3657],[-3.755,40.3657],[-3.7552,40.3636],[-3.7537,40.3636],[-3.7536,40.3643],[-3.7537,40.3646],[-3.7528,40.3649],[-3.7505,40.3647],[-3.7505,40.3651],[-3.75,40.3653],[-3.7488,40.3652],[-3.7477,40.3652],[-3.7471,40.3651],[-3.7468,40.3651],[-3.7467,40.3652],[-3.7465,40.3653],[-3.7464,40.3655],[-3.7463,40.366],[-3.7463,40.3666],[-3.7463,40.3668],[-3.7461,40.367],[-3.7457,40.3673],[-3.7453,40.3675],[-3.7449,40.3675],[-3.7436,40.3674],[-3.7432,40.3675],[-3.7428,40.3676],[-3.7424,40.3678],[-3.7413,40.3678],[-3.7422,40.3684],[-3.7434,40.3692],[-3.7445,40.3697],[-3.7437,40.3704],[-3.7433,40.3708],[-3.7424,40.3716],[-3.7421,40.372],[-3.742,40.3722],[-3.742,40.3726],[-3.742,40.3727],[-3.742,40.373],[-3.7421,40.3732],[-3.7432,40.3732],[-3.7432,40.373],[-3.7441,40.3729],[-3.7454,40.3729],[-3.7464,40.3729],[-3.7469,40.3729],[-3.7472,40.373],[-3.7477,40.3732],[-3.7484,40.3734],[-3.7489,40.3736],[-3.7491,40.3737],[-3.7495,40.3739],[-3.7498,40.3741],[-3.7503,40.3741],[-3.7502,40.3748],[-3.7504,40.3749],[-3.7508,40.3756],[-3.7508,40.3758],[-3.7501,40.3764],[-3.7521,40.3768],[-3.7532,40.377],[-3.7538,40.3771],[-3.7551,40.3778],[-3.7556,40.3781],[-3.7558,40.3784]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-12-004,Almendrales,"{""coordinates"":[[[[-3.7057,40.3858],[-3.7053,40.3832],[-3.7048,40.3801],[-3.7031,40.3811],[-3.7003,40.3783],[-3.6999,40.3786],[-3.6958,40.3803],[-3.6921,40.3841],[-3.6977,40.3887],[-3.6981,40.3891],[-3.6987,40.3887],[-3.6991,40.3884],[-3.6994,40.3881],[-3.6997,40.388],[-3.7024,40.3862],[-3.7037,40.3861],[-3.7057,40.3858]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-12-001,Orcasitas,"{""coordinates"":[[[[-3.7183,40.3647],[-3.7165,40.3645],[-3.7142,40.3643],[-3.7113,40.3641],[-3.707,40.3638],[-3.7052,40.3636],[-3.7038,40.3684],[-3.7034,40.3711],[-3.7038,40.3711],[-3.7044,40.3712],[-3.7097,40.3726],[-3.7122,40.3733],[-3.7143,40.3737],[-3.7153,40.3738],[-3.717,40.3738],[-3.7197,40.3738],[-3.7202,40.3693],[-3.7207,40.3648],[-3.7205,40.3648],[-3.7183,40.3647]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-13-005,Portazgo,"{""coordinates"":[[[[-3.654,40.3923],[-3.6542,40.3916],[-3.654,40.3916],[-3.6537,40.3913],[-3.6529,40.3892],[-3.6531,40.3867],[-3.6531,40.3864],[-3.6531,40.384],[-3.6529,40.3814],[-3.6519,40.3816],[-3.651,40.3819],[-3.6505,40.3821],[-3.6499,40.3823],[-3.6489,40.3829],[-3.6484,40.3833],[-3.6483,40.3835],[-3.6478,40.384],[-3.6439,40.3891],[-3.6404,40.3938],[-3.64,40.3948],[-3.6429,40.3955],[-3.6448,40.3965],[-3.6471,40.3985],[-3.6482,40.3977],[-3.6517,40.3954],[-3.6528,40.3945],[-3.6535,40.3937],[-3.6538,40.3933],[-3.654,40.3923]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-14-001,Pavones,"{""coordinates"":[[[[-3.6343,40.4037],[-3.6344,40.4037],[-3.6361,40.401],[-3.6396,40.3959],[-3.64,40.3948],[-3.6297,40.3925],[-3.6286,40.3945],[-3.6275,40.3969],[-3.626,40.402],[-3.6255,40.403],[-3.6252,40.4036],[-3.6255,40.4037],[-3.6259,40.4038],[-3.6262,40.4039],[-3.6266,40.4042],[-3.627,40.4044],[-3.6278,40.4038],[-3.6282,40.4038],[-3.6343,40.4037]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-14-002,Horcajo,"{""coordinates"":[[[[-3.6263,40.4138],[-3.6276,40.4143],[-3.6279,40.4138],[-3.6286,40.4124],[-3.6298,40.4103],[-3.6311,40.408],[-3.6314,40.4074],[-3.6334,40.4051],[-3.6343,40.4037],[-3.6332,40.4038],[-3.6282,40.4038],[-3.6278,40.4038],[-3.627,40.4044],[-3.6267,40.4042],[-3.6262,40.4039],[-3.6252,40.4036],[-3.6246,40.4049],[-3.6239,40.4062],[-3.6231,40.4076],[-3.6209,40.4121],[-3.6204,40.413],[-3.6227,40.4131],[-3.6251,40.4135],[-3.6254,40.4135],[-3.6263,40.4138]]]],""type"":""MultiPolygon""}",8,Madrid
0-EU-ES-28-07-001-079-18-002,Santa Eugenia,"{""coordinates"":[[[[-3.6252,40.3831],[-3.6249,40.382],[-3.6192,40.3834],[-3.619,40.3829],[-3.6188,40.3826],[-3.6173,40.3814],[-3.6184,40.3808],[-3.6175,40.3809],[-3.6173,40.3801],[-3.6173,40.3795],[-3.615,40.3794],[-3.6137,40.3793],[-3.6103,40.3787],[-3.6091,40.3782],[-3.6084,40.3779],[-3.6059,40.3769],[-3.6035,40.3759],[-3.6028,40.3762],[-3.6025,40.3762],[-3.6022,40.3763],[-3.6019,40.3763],[-3.6016,40.3763],[-3.6012,40.3765],[-3.6007,40.3767],[-3.6009,40.3771],[-3.5998,40.3776],[-3.5993,40.3785],[-3.5988,40.379],[-3.5979,40.3796],[-3.5993,40.382],[-3.5997,40.3824],[-3.6005,40.3824],[-3.6009,40.3827],[-3.6013,40.3831],[-3.6019,40.3859],[-3.6025,40.3864],[-3.6032,40.3867],[-3.6039,40.3868],[-3.6061,40.386],[-3.608,40.3873],[-3.609,40.3878],[-3.6107,40.3884],[-3.6133,40.389],[-3.6174,40.3899],[-3.6219,40.3908],[-3.6239,40.386],[-3.6245,40.3845],[-3.625,40.3838],[-3.6253,40.3835],[-3.6252,40.3831]]]],""type"":""MultiPolygon""}",8,Madrid
